category;item;alternatives
Instrumente;Geige;Violine
Instrumente;Klavier;Piano
Jacken;Arztkittel;Chemiekittel
Jacken;Arztkittel;Kittel
Jacken;Arztkittel;Laborkittel
Jacken;Daunenweste;Weste
Jacken;Kapuzenpulli;Pulli
Jacken;Kapuzenpulli;Pullover
Jacken;Kapuzenpulli;Hoodie
Jacken;Kapuzenpulli;Kapuzenpullover
Jacken;Pelzmantel;Felljacke
Jacken;Pelzmantel;Mantel
Jacken;Pelzmantel;Pelz
Jacken;Pelzmantel;Fellmantel
Jacken;Sakko;Anzug
Jacken;Sakko;Jackett
Kochen;Kelle;Suppenkelle
Kochen;Kelle;Rührkelle
Kochen;Schneebesen;Quirl
Kochen;Schneebesen;Rührbesen
Kochen;Schneebesen;Mixer
Körperteile;Fuss;Fuß
Kueche;Geschirrspüler;Geschirrspülmaschine
Kueche;Geschirrspüler;Spülmaschine
Kueche;Geschirrspüler;Spüler
Kueche;Herd;Kochfeld
Kueche;Herd;Herdplatte
Kueche;Herd;Ofen
Kueche;Herd;Ofenplatte
Kueche;Kaffeemaschine;Kaffeekocher
Kueche;Kühlschrank;Gefrierschrank
Obst;Trauben;Weintraube
Obst;Trauben;Weintrauben
Obst;Trauben;Traube
Raubtiere;Bär;Braunbär
Raubtiere;Leopard;Gepard
Raubtiere;Leopard;Jaguar
Raubtiere;Leopard;Puma
Raubtiere;Panther;Puma
Raubtiere;Panther;Jaguar
Raubtiere;Panther;Gepard
Schmuck;Armband;Armkette
Schmuck;Armband;Armreif
Schmuck;Brosche;Schmuck
Schmuck;Brosche;Amulett
Schmuck;Brosche;Diadem
Schmuck;Brosche;Juwelen
Schmuck;Brosche;Haarspange
Schmuck;Brosche;Ohrring
Schmuck;Kette;Collier
Schmuck;Kette;Halskette
Schmuck;Kette;Perlenkette
Schmuck;Kette;Halsband
Schmuck;Ohrring;Ohranhänger
Schmuck;Ring;Goldring
Schmuck;Ring;Ehering
Sitzen;Couch;Sofa
Sitzen;Couch;Ledercouch
Sitzen;Hocker;Schemel
Strasse;Auto;SUV
Strasse;Auto;Mercedes
Strasse;Lkw;Lastkraftwagen
Strasse;Lkw;Laster
Strasse;Lkw;Lastwagen
Strasse;Lkw;Transporter
Suessigkeiten;Eis;Schokoladeneis
Suessigkeiten;Eis;Eiscreme
Suessigkeiten;Kekse;Keks
Suessigkeiten;Kekse;Schokoladenkeks
Suessigkeiten;Kekse;Cookies
Suessigkeiten;Kuchen;Torte
Trinkgefaesse;Becher;Knobelbecher
Trinkgefaesse;Becher;Pappbecher
Trinkgefaesse;Flasche;Glasflasche
Trinkgefaesse;Flasche;Wasserflasche
Trinkgefaesse;Glas;Becher
Trinkgefaesse;Kanne;Teekanne
Trinkgefaesse;Kanne;Teekessel
Trinkgefaesse;Kanne;Kaffeekanne
Trinkgefaesse;Tasse;Teetasse
Trinkgefaesse;Tasse;Becher
Voegel;Eule;Uhu
Voegel;Strauss;Pfau
Voegel;Strauss;Strauch
Voegel;Strauss;Strauß
Wasser;Gondel;Gondola
Wasser;Gondel;Gondelier
Wasser;Gondel;Boot
Wasser;Kanu;Boot
Wasser;Segelschiff;Modellschiff
Wasser;Segelschiff;Segelboot
Wasser;Segelschiff;Schiff
Wasser;Segelschiff;Boot
Wasser;U-Boot;Unterseeboot
Wasser;U-Boot;Militärschiff
Wasser;U-Boot;Boot
Wasser;Yacht;Schiff
Wasser;Yacht;Boot
