"","subject","trial","item","category","supercategory","PosOr","word","letters.01","timing.01"
"34",1,34,"baby","Filler","Filler",4,"BABYEnter","B",1392
"35",1,35,"schachtel","Aufbewahrung","Möbel",4,"SCHACHTELEnter","S",1607
"36",1,36,"auto","Strasse","Fortbewegungsmittel",5,"AUTOEnter","A",1583
"37",1,37,"goldfisch","Fische","Tiere",4,"GOLDFISCHEnter","G",1083
"38",1,38,"luftballon","Filler","Filler",5,"LUFTBALLONEnter","L",1166
"39",1,39,"safe","Aufbewahrung","Möbel",5,"SAFEEnter","S",983
"40",1,40,"rochen","Fische","Tiere",5,"ROCHENEnter","R",1207
"41",1,41,"bürste","Filler","Filler",1,"BÜRSTEEnter","B",1611
"42",1,42,"bonbon","Süssigkeiten","Lebensmittel",1,"BOBBackspaceNBONEnter","B",868
"43",1,43,"hand","Körperteile","Misc I",1,"HANDEnter","H",864
"44",1,44,"briefkasten","Filler","Filler",2,"BRIEFKASTENEnter","B",1362
"45",1,45,"kuchen","Süssigkeiten","Lebensmittel",2,"TORTEEnter","T",1579
"46",1,46,"feile","Heimwerker","Werkzeug",1,"FEILEEnter","F",964
"47",1,47,"ohr","Körperteile","Misc I",2,"OHREnter","O",935
"48",1,48,"kekse","Süssigkeiten","Lebensmittel",3,"KESBackspaceLSEBackspaceBackspaceBackspaceKSEEnter","K",1033
"49",1,49,"schraubenzieher","Heimwerker","Werkzeug",2,"SCHRAUBENZIEHEREnter","S",1155
"50",1,50,"kerze","Filler","Filler",3,"KERZEEnter","K",1223
"51",1,51,"fuss","Körperteile","Misc I",3,"FUSSEnter","F",1293
"52",1,52,"zange","Heimwerker","Werkzeug",3,"ZAGEBackspaceBackspaceGBackspaceNGEEnter","Z",967
"53",1,53,"ventilator","Filler","Filler",4,"VENTILATOREnter","V",1113
"54",1,54,"schokolade","Süssigkeiten","Lebensmittel",4,"SCHOKOLADEEnter","S",824
"55",1,55,"bohrmaschine","Heimwerker","Werkzeug",4,"BOHREREnter","B",2795
"56",1,56,"arm","Körperteile","Misc I",4,"ARMEnter","A",814
"57",1,57,"parfum","Filler","Filler",5,"PARFIBackspaceUMEnter","P",1297
"58",1,58,"eis","Süssigkeiten","Lebensmittel",5,"EISEnter","E",1041
"59",1,59,"bein","Körperteile","Misc I",5,"BEINEnter","B",1825
"60",1,60,"hammer","Heimwerker","Werkzeug",5,"HAMMEREnter","H",1380
"61",1,61,"ameise","Insekten","Tiere",1,"AMEISEEnter","A",869
"62",1,62,"birne","Obst","Lebensmittel",1,"BIRNEEnter","B",901
"63",1,63,"mülleimer","Filler","Filler",1,"MÜLLEIMEREnter","M",1128
"64",1,64,"fliege","Insekten","Tiere",2,"FLIEGEEnter","F",1429
"65",1,65,"kirsche","Obst","Lebensmittel",2,"KIRSCHEEnter","K",1182
"66",1,66,"tasse","Trinkgefässe","Misc II",1,"TASSEEnter","T",1375
"67",1,67,"biene","Insekten","Tiere",3,"BIENEEnter","B",1375
"68",1,68,"trauben","Obst","Lebensmittel",3,"TRAUBENEnter","T",1256
"69",1,69,"schlüssel","Filler","Filler",2,"SCHHLÜSSEKEnter","S",839
"70",1,70,"marienkäfer","Insekten","Tiere",4,"MAIBackspaceREBackspaceIENKÄFEREnterEnter","M",1209
"71",1,71,"kanne","Trinkgefässe","Misc II",2,"TEEKANNEEnter","T",1296
"72",1,72,"kopfkissen","Filler","Filler",3,"KISSENEnter","K",896
"73",1,73,"spinne","Insekten","Tiere",5,"SPINNEEnter","S",1143
"74",1,74,"becher","Trinkgefässe","Misc II",3,"BECHEREnter","B",1295
"75",1,75,"apfel","Obst","Lebensmittel",4,"APFELEnter","A",983
"76",1,76,"streichholz","Filler","Filler",4,"STREICHHOLZEnter","S",845
"77",1,77,"flasche","Trinkgefässe","Misc II",4,"FLASCHEEnter","F",1337
"78",1,78,"lippenstift","Filler","Filler",5,"LIPPENSTIGBackspaceFTEnter","L",986
"79",1,79,"banane","Obst","Lebensmittel",5,"BANANEEnter","B",928
"80",1,80,"glas","Trinkgefässe","Misc II",5,"GLASEnter","G",1259
"81",1,81,"klammer","Büro","Werkzeug",1,"BÜROKLAMMEREnter","B",1178
"82",1,82,"kaffeemaschine","Küche","Möbel",1,"KAFFEEMASCHINEEnter","K",1555
"83",1,83,"segelschiff","Wasser","Fortbewegungsmittel",1,"SEGELSCHIFFEnter","S",931
"84",1,84,"ampel","Filler","Filler",1,"AMPELEnter","A",799
"85",1,85,"mikrowelle","Küche","Möbel",2,"MIKROWELLEEnter","M",976
"86",1,86,"radiergummi","Büro","Werkzeug",2,"RADIERGUMMIEnter","R",1024
"87",1,87,"yacht","Wasser","Fortbewegungsmittel",2,"YACHTEnter","Y",1311
"88",1,88,"geschirrspüler","Küche","Möbel",3,NA,"G",2569
"89",1,89,"pfeife","Filler","Filler",2,"SBackspacePFEIFEEnter","S",NA
"90",1,90,"kanu","Wasser","Fortbewegungsmittel",3,"BOOTEnter","B",1175
"91",1,91,"würfel","Filler","Filler",3,"WÜRFELEnter","W",1060
"92",1,92,"badewanne","Filler","Filler",4,"BADEWANNEEnter","B",1075
"93",1,93,"u-boot","Wasser","Fortbewegungsmittel",4,"U-BOOTEnter","U",1395
"94",1,94,"schere","Büro","Werkzeug",3,"SCHEREEnter","S",1048
"95",1,95,"herd","Küche","Möbel",4,"HERDEnter","H",1332
"96",1,96,"gondel","Wasser","Fortbewegungsmittel",5,"BOOTEnter","B",2482
"97",1,97,"bleistift","Büro","Werkzeug",4,"BLEISTIFTEnter","B",876
"98",1,98,"kühlschrank","Küche","Möbel",5,"KÜHLSCHRANKEnter","K",1771
"99",1,99,"steckdose","Filler","Filler",5,"STECKDOSEEnter","S",1720
"100",1,100,"lineal","Büro","Werkzeug",5,"LINEALEnter","L",955
"101",1,101,"fernglas","Filler","Filler",1,"FERNGLASEnter","F",1165
"102",1,102,"gitarre","Instrumente","Misc I",1,"GITARREEnter","G",1217
"103",1,103,"kamel","Huftiere","Tiere",1,"KAEBackspaceMELEnter","K",916
"104",1,104,"sonnenblume","Blumen","Misc II",1,"SONNENBLUMEEnter","S",1330
"105",1,105,"harfe","Instrumente","Misc I",2,"HARFEEnter","H",966
"106",1,106,"reh","Huftiere","Tiere",2,"REHEnter","R",1527
"107",1,107,"löwenzahn","Blumen","Misc II",2,"LÖWENZAHNEnter","L",1772
"108",1,108,"geige","Instrumente","Misc I",3,"GEIGEEnter","G",1491
"109",1,109,"schaf","Huftiere","Tiere",3,"SCHAFEnter","S",1007
"110",1,110,"kopfhörer","Filler","Filler",2,"KOPFHÖREREnter","K",999
"111",1,111,"brille","Filler","Filler",3,"BRILLEEnter","B",1225
"112",1,112,"kuh","Huftiere","Tiere",4,"KUHEnter","K",994
"113",1,113,"tulpe","Blumen","Misc II",3,"TULPEEnter","T",1255
"114",1,114,"teppich","Filler","Filler",4,"TEPPICHEnter","T",992
"115",1,115,"schlagzeug","Instrumente","Misc I",4,"SCHLAGZEUGEnter","S",1290
"116",1,116,"rose","Blumen","Misc II",4,"ROSEEnter","R",1395
"117",1,117,"pferd","Huftiere","Tiere",5,"PFERDEnter","P",1072
"118",1,118,"klavier","Instrumente","Misc I",5,"KLAVIEREnter","K",1198
"119",1,119,"orchidee","Blumen","Misc II",5,"ORCHIDEEEnter","O",2456
"120",1,120,"schwamm","Filler","Filler",5,"SCHWAMMEnter","S",822
"121",1,121,"leopard","Raubtiere","Tiere",1,"LEOPARDEnter","L",912
"122",1,122,"kette","Schmuck","Kleidung",1,"KETTEEnter","K",1276
"123",1,123,"schneebesen","Kochen","Werkzeug",1,"SCHNEEBESENEnter","S",1405
"124",1,124,"tiger","Raubtiere","Tiere",2,"TIFEREnter","T",1536
"125",1,125,"ring","Schmuck","Kleidung",2,"RINGEnter","R",884
"126",1,126,"kamera","Filler","Filler",1,"KAMERAEnter","K",1312
"127",1,127,"spaghetti","Filler","Filler",2,"SPAGHETTIEnter","S",1052
"128",1,128,"brosche","Schmuck","Kleidung",3,"BROSSCHBackspaceBackspaceBackspaceCHEEnter","B",1388
"129",1,129,"messer","Kochen","Werkzeug",2,"MESSEREnter","M",1293
"130",1,130,"fächer","Filler","Filler",3,"FÄCHEREnter","F",1132
"131",1,131,"bär","Raubtiere","Tiere",3,"BÄREnter","B",1083
"132",1,132,"gabel","Kochen","Werkzeug",3,"GABELEnter","G",1614
"133",1,133,"ohrring","Schmuck","Kleidung",4,"OHRRINGEnter","O",1610
"134",1,134,"kassette","Filler","Filler",4,"KASSETTEEnter","K",1026
"135",1,135,"kelle","Kochen","Werkzeug",4,"KELLEEnter","K",1580
"136",1,136,"löwe","Raubtiere","Tiere",4,"LÖWEEnter","L",921
"137",1,137,"fenster","Filler","Filler",5,"FENSTEREnter","F",1431
"138",1,138,"löffel","Kochen","Werkzeug",5,"LÖFFELEnter","L",1695
"139",1,139,"armband","Schmuck","Kleidung",5,"ARMBANDEnter","A",2805
"140",1,140,"panther","Raubtiere","Tiere",5,"PANTHEREnter","P",2422
"141",1,141,"strauss","Vögel","Tiere",1,"STRATBackspaceUSSEnter","S",1161
"142",1,142,"hochhaus","Gebäude","Misc II",1,"HOCHHAUSEnter","H",1338
"143",1,143,"briefmarke","Filler","Filler",1,"BRIEFMARKEEnter","B",1125
"144",1,144,"pinsel","Filler","Filler",2,"PINSELEnter","P",1163
"145",1,145,"sessel","Sitzen","Möbel",1,"SESSELEnter","S",1624
"146",1,146,"eule","Vögel","Tiere",2,"EULEEnter","E",1840
"147",1,147,"kirche","Gebäude","Misc II",2,"KIRSCHEBackspaceBackspaceBackspaceBackspaceCHEEnter","K",1170
"148",1,148,"stuhl","Sitzen","Möbel",2,"STUHLEnter","S",775
"149",1,149,"schwan","Vögel","Tiere",3,"WBackspaceSCHWANEnter","W",1117
"150",1,150,"burg","Gebäude","Misc II",3,"BURGEnter","B",1180
"151",1,151,"couch","Sitzen","Möbel",3,"SOFAEnter","S",1169
"152",1,152,"glocke","Filler","Filler",3,"GLOCKEEnter","G",1666
"153",1,153,"waage","Filler","Filler",4,"WAAGEEnter","W",967
"154",1,154,"schloss","Gebäude","Misc II",4,"SCHLOSSEnter","S",1769
"155",1,155,"ente","Vögel","Tiere",4,"ENTEEnter","E",1125
"156",1,156,"hocker","Sitzen","Möbel",4,"HOCKEREnter","H",1301
"157",1,157,"tempel","Gebäude","Misc II",5,"TEMPELEnter","T",1448
"158",1,158,"taube","Vögel","Tiere",5,"TAUBEEnter","T",1603
"159",1,159,"bank","Sitzen","Möbel",5,"BANKEnter","B",1181
"160",1,160,"schwert","Filler","Filler",5,"SCHWARTBackspaceBackspaceBackspaceERTEnter","S",1073
"161",2,1,"pelzmantel","Jacken","Kleidung",1,"PELZMANTELEnter","P",1080
"162",2,2,"paprika","Gemüse","Lebensmittel",1,"PAPRIKAEnter","P",915
"163",2,3,"schaufel","Bauernhof","Werkzeug",1,"SCHAUFELEnter","S",783
"164",2,4,"sakko","Jacken","Kleidung",2,"SAKKOEnter","S",1870
"165",2,5,"kartoffel","Gemüse","Lebensmittel",2,"KARTOLBackspaceFFELEnter","K",938
"166",2,6,"besen","Bauernhof","Werkzeug",2,"BESENEnter","B",857
"167",2,7,"steckdose","Filler","Filler",1,"SCBackspaceTECKDOSEEnter","S",705
"168",2,8,"kapuzenpulli","Jacken","Kleidung",3,"KAPUZENPULLIEnter","K",1227
"169",2,9,"säge","Bauernhof","Werkzeug",3,"SÄGEEnter","S",881
"170",2,10,"karotte","Gemüse","Lebensmittel",3,"KAROTTEEnter","K",772
"171",2,11,"kamera","Filler","Filler",2,NA,"F",3067
"172",2,12,"axt","Bauernhof","Werkzeug",4,"TBackspaceAXREnter","T",NA
"173",2,13,"daunenweste","Jacken","Kleidung",4,"DAUNENWESTEEnter","D",963
"174",2,14,"brokkoli","Gemüse","Lebensmittel",4,"BROKKOLIEnter","B",915
"175",2,15,"sense","Bauernhof","Werkzeug",5,"SENSEEnter","S",752
"176",2,16,"tafel","Filler","Filler",3,"TAFELEnter","T",959
"177",2,17,"kopfkissen","Filler","Filler",4,"KABackspaceISSENEnter","K",957
"178",2,18,"arztkittel","Jacken","Kleidung",5,"ARZTKITTELEnter","A",1846
"179",2,19,"gurke","Gemüse","Lebensmittel",5,"GURKEEnter","G",967
"180",2,20,"streichholz","Filler","Filler",5,"STREICHHOLZEnter","S",807
"181",2,21,"geige","Instrumente","Misc I",1,"GEIGEEnter","G",1095
"182",2,22,"mülleimer","Filler","Filler",1,"MÜLLEIMEREnter","M",1294
"183",2,23,"orchidee","Blumen","Misc II",1,"ORCHIDEEEnter","O",1606
"184",2,24,"kuh","Huftiere","Tiere",1,"KUHEnter","K",746
"185",2,25,"gitarre","Instrumente","Misc I",2,"GITARREEnter","G",1103
"186",2,26,"löwenzahn","Blumen","Misc II",2,"LÄBackspaceÖWENZAHLBackspaceNEnter","L",1013
"187",2,27,"pferd","Huftiere","Tiere",2,"PFERDEnter","P",1126
"188",2,28,"harfe","Instrumente","Misc I",3,"HARFEEnter","H",991
"189",2,29,"tulpe","Blumen","Misc II",3,"TULPEEnter","T",941
"190",2,30,"kamel","Huftiere","Tiere",3,"KAMELEnter","K",818
"191",2,31,"ampel","Filler","Filler",2,"AMPELEnter","A",790
"192",2,32,"sonnenblume","Blumen","Misc II",4,"SONNENBLUMEEnter","S",1345
"193",2,33,"schlüssel","Filler","Filler",3,"SCHLÜSSELEnter","S",725
"194",2,34,"klavier","Instrumente","Misc I",4,"KLAVIEREnter","K",650
"195",2,35,"kassette","Filler","Filler",4,"KASEBackspaceSETTEEnter","K",771
"196",2,36,"pfeife","Filler","Filler",5,"PFEIFEEnter","P",875
"197",2,37,"schaf","Huftiere","Tiere",4,"SCHAFEnter","S",951
"198",2,38,"schlagzeug","Instrumente","Misc I",5,"SCHLAGZEUGEnter","S",902
"199",2,39,"rose","Blumen","Misc II",5,"ROSEEnter","R",1070
"200",2,40,"reh","Huftiere","Tiere",5,"REHEnter","R",1029
"201",2,41,"würfel","Filler","Filler",1,"WÜRFELEnter","W",938
"202",2,42,"kette","Schmuck","Kleidung",1,"KETTEEnter","K",1309
"203",2,43,"messer","Kochen","Werkzeug",1,"MESSEREnter","M",840
"204",2,44,"leopard","Raubtiere","Tiere",1,"LEOPARDEnter","L",1724
"205",2,45,"armband","Schmuck","Kleidung",2,NA,"K",2192
"206",2,46,"kelle","Kochen","Werkzeug",2,"KELLEEnter","K",1083
"207",2,47,"mikrofon","Filler","Filler",2,"MIKROFONEnter","M",1088
"208",2,48,"ring","Schmuck","Kleidung",3,"RINGEnter","R",1156
"209",2,49,"löffel","Kochen","Werkzeug",3,"LÖFFELEnter","L",691
"210",2,50,"bär","Raubtiere","Tiere",2,"BÄREnter","B",934
"211",2,51,"brosche","Schmuck","Kleidung",4,"BROSCHEEnter","B",3248
"212",2,52,"schneebesen","Kochen","Werkzeug",4,"SCHNEEBESEEnter","S",1578
"213",2,53,"tiger","Raubtiere","Tiere",3,"TIGEREnter","T",1216
"214",2,54,"pinsel","Filler","Filler",3,"PINSELEnter","P",1006
"215",2,55,"schornstein","Filler","Filler",4,"KABackspaceBackspaceSCHORNSTEINEnter","K",1296
"216",2,56,"panther","Raubtiere","Tiere",4,"PANTHEREnter","P",951
"217",2,57,"ohrring","Schmuck","Kleidung",5,"OHRRINGEnter","O",1264
"218",2,58,"fenster","Filler","Filler",5,"GENBackspaceBackspaceFBackspaceBackspaceFENSTEREnter","G",1249
"219",2,59,"löwe","Raubtiere","Tiere",5,"LÖWWEBackspaceBackspaceEEnter","L",718
"220",2,60,"gabel","Kochen","Werkzeug",5,"GABELEnter","G",930
"221",2,61,"auto","Strasse","Fortbewegungsmittel",1,"AUTOEnter","A",728
"222",2,62,"regal","Aufbewahrung","Möbel",1,"REGALEnter","R",825
"223",2,63,"brille","Filler","Filler",1,"BRILLEEnter","B",701
"224",2,64,"kutsche","Strasse","Fortbewegungsmittel",2,"KUTSCHEEnter","K",1091
"225",2,65,"waage","Filler","Filler",2,"WAAGEEnter","W",1026
"226",2,66,"hai","Fische","Tiere",1,"HAIEnter","H",1013
"227",2,67,"lkw","Strasse","Fortbewegungsmittel",3,"LKWEnter","L",976
"228",2,68,"cd","Filler","Filler",3,"CDEnter","C",1302
"229",2,69,"aal","Fische","Tiere",2,"AALEnter","A",795
"230",2,70,"schachtel","Aufbewahrung","Möbel",2,"SCHACHTELEnter","S",2906
"231",2,71,"bus","Strasse","Fortbewegungsmittel",4,"BUSEnter","B",756
"232",2,72,"puppe","Filler","Filler",4,"PUPPEEnter","P",1791
"233",2,73,"delfin","Fische","Tiere",3,"DELFINEnter","D",1130
"234",2,74,"schublade","Aufbewahrung","Möbel",3,"SCHUBLADEEnter","S",934
"235",2,75,"fächer","Filler","Filler",5,"FÄCHEREnter","F",746
"236",2,76,"rochen","Fische","Tiere",4,"ROCHENEnter","R",978
"237",2,77,"safe","Aufbewahrung","Möbel",4,"SAFEEnter","S",816
"238",2,78,"motorrad","Strasse","Fortbewegungsmittel",5,"MOTORRADEnter","M",840
"239",2,79,"goldfisch","Fische","Tiere",5,"GOLDFISCHEnter","G",1047
"240",2,80,"kleiderschrank","Aufbewahrung","Möbel",5,"SCHRANKEnter","S",663
"241",2,81,"schere","Büro","Werkzeug",1,"SCHREBackspaceBackspaceEREEnter","S",841
"242",2,82,"kaffeemaschine","Küche","Möbel",1,"KAFFEEMASCHINEEnter","K",775
"243",2,83,"gondel","Wasser","Fortbewegungsmittel",1,"GONDELEnter","G",1979
"244",2,84,"bleistift","Büro","Werkzeug",2,"BLEISCHBackspaceBackspaceTIFTEnter","B",852
"245",2,85,"herd","Küche","Möbel",2,"HERDEnter","H",948
"246",2,86,"spaghetti","Filler","Filler",1,"SPAGHETTIEnter","S",1030
"247",2,87,"kopfhörer","Filler","Filler",2,"KOPFHÖREREnter","K",864
"248",2,88,"u-boot","Wasser","Fortbewegungsmittel",2,"U-PBackspaceBOOTEnter","U",1055
"249",2,89,"geschirrspüler","Küche","Möbel",3,"GESCHIRRSPÜLEREnter","G",1418
"250",2,90,"lineal","Büro","Werkzeug",3,"LINEAREnter","L",762
"251",2,91,"yacht","Wasser","Fortbewegungsmittel",3,"YACHTEnter","Y",2227
"252",2,92,"mikrowelle","Küche","Möbel",4,"MIKROFBackspaceWELLEEnter","M",1016
"253",2,93,"fernglas","Filler","Filler",3,"FERNGLASEnter","F",841
"254",2,94,"kanu","Wasser","Fortbewegungsmittel",4,"KANUEnter","K",988
"255",2,95,"klammer","Büro","Werkzeug",4,"BÜROKLAMMEREnter","B",1103
"256",2,96,"briefkasten","Filler","Filler",4,"BRIEFKASTERNBackspaceBackspaceNEnter","B",1076
"257",2,97,"segelschiff","Wasser","Fortbewegungsmittel",5,"SEGELSCHIFFEnter","S",1164
"258",2,98,"kühlschrank","Küche","Möbel",5,"KÜHLSCHRANKEnter","K",1200
"259",2,99,"badewanne","Filler","Filler",5,"BADEWANNEEnter","B",1144
"260",2,100,"radiergummi","Büro","Werkzeug",5,"RADIERGUMMIEnter","R",885
"261",2,101,"zigarette","Filler","Filler",1,"ZIRBackspaceGARETTEEnter","Z",978
"262",2,102,"flasche","Trinkgefässe","Misc II",1,"FLASCHEEnter","F",932
"263",2,103,"birne","Obst","Lebensmittel",1,"BIRNEEnter","B",744
"264",2,104,"parfum","Filler","Filler",2,"PARFUMEnter","P",976
"265",2,105,"schwert","Filler","Filler",3,"SCHWERTEnter","S",669
"266",2,106,"banane","Obst","Lebensmittel",2,"BANANABackspaceEEnter","B",804
"267",2,107,"marienkäfer","Insekten","Tiere",1,"MARIENKA#BackspaceBackspaceÖBackspaceÄFEREnter","M",1019
"268",2,108,"käfig","Filler","Filler",4,"KÄFIGEnter","K",739
"269",2,109,"kanne","Trinkgefässe","Misc II",2,"KBackspaceTEEKANNEEnter","K",834
"270",2,110,"fliege","Insekten","Tiere",2,"FLIEGEEnter","F",716
"271",2,111,"glocke","Filler","Filler",5,"GLOCKEEnter","G",987
"272",2,112,"apfel","Obst","Lebensmittel",3,"APFELEnter","A",688
"273",2,113,"biene","Insekten","Tiere",3,"BIENEEnter","B",1032
"274",2,114,"becher","Trinkgefässe","Misc II",3,"BECHEREnter","B",2642
"275",2,115,"kirsche","Obst","Lebensmittel",4,"KIEBackspaceRSCHEEnter","K",745
"276",2,116,"spinne","Insekten","Tiere",4,"SPINNEEnter","S",1054
"277",2,117,"glas","Trinkgefässe","Misc II",4,"GLASEnter","G",847
"278",2,118,"trauben","Obst","Lebensmittel",5,"TRAUBEEnter","T",905
"279",2,119,"ameise","Insekten","Tiere",5,"AMEISEEnter","A",907
"280",2,120,"tasse","Trinkgefässe","Misc II",5,"TASSEEnter","T",880
"281",2,121,"schokolade","Süssigkeiten","Lebensmittel",1,"SCHOKOLADEEnter","S",966
"282",2,122,"bein","Körperteile","Misc I",1,"BEINEnter","B",812
"283",2,123,"bohrmaschine","Heimwerker","Werkzeug",1,"BOHRMASCHINEEnter","B",842
"284",2,124,"bürste","Filler","Filler",1,"BÜRSTEEnter","B",918
"285",2,125,"hand","Körperteile","Misc I",2,"HANDEnter","H",799
"286",2,126,"feile","Heimwerker","Werkzeug",2,"FEILEEnter","F",936
"287",2,127,"ball","Filler","Filler",2,"BALLEnter","B",1090
"288",2,128,"luftballon","Filler","Filler",3,"BALLONEnter","B",791
"289",2,129,"eis","Süssigkeiten","Lebensmittel",2,"EISEnter","E",979
"290",2,130,"kerze","Filler","Filler",4,"KERZEEnter","K",705
"291",2,131,"zange","Heimwerker","Werkzeug",3,"ZANGEEnter","Z",954
"292",2,132,"kekse","Süssigkeiten","Lebensmittel",3,"KEKSEEnter","K",677
"293",2,133,"ventilator","Filler","Filler",5,"LÜFTEREnter","L",1866
"294",2,134,"ohr","Körperteile","Misc I",3,"OHREnter","O",977
"295",2,135,"schraubenzieher","Heimwerker","Werkzeug",4,"SCHREBackspaceAUBENZIEHEEnter","S",902
"296",2,136,"bonbon","Süssigkeiten","Lebensmittel",4,"RBackspaceBONBONEnter","R",NA
"297",2,137,"fuss","Körperteile","Misc I",4,"FUSSEnter","F",862
"298",2,138,"hammer","Heimwerker","Werkzeug",5,"HAMMEREnter","H",715
"299",2,139,"kuchen","Süssigkeiten","Lebensmittel",5,"KUCHENEnter","K",715
"300",2,140,"arm","Körperteile","Misc I",5,"AARBackspaceBackspaceRMEnter","A",762
"301",2,141,"hochhaus","Gebäude","Misc II",1,"HBackspaceHOCHHAUSEnter","H",1022
"302",2,142,"lippenstift","Filler","Filler",1,"LIPPENSTIFTEnter","L",763
"303",2,143,"bank","Sitzen","Möbel",1,"BRBackspaceANKEnter","B",1110
"304",2,144,"ente","Vögel","Tiere",1,"ENTEEnter","E",1006
"305",2,145,"kirche","Gebäude","Misc II",2,"KIRCHEEnter","K",653
"306",2,146,"couch","Sitzen","Möbel",2,"SOFAEnter","S",909
"307",2,147,"teppich","Filler","Filler",2,"TEPPICHEnter","T",1103
"308",2,148,"strauss","Vögel","Tiere",2,"STRAUSSEnter","S",1229
"309",2,149,"baby","Filler","Filler",3,"BABYEnter","B",833
"310",2,150,"tempel","Gebäude","Misc II",3,"TEMPELEnter","T",1000
"311",2,151,"eule","Vögel","Tiere",3,"EULEEnter","E",883
"312",2,152,"stuhl","Sitzen","Möbel",3,"KBackspaceSUHLBackspaceBackspaceBackspaceTUHLEnter","K",640
"313",2,153,"schloss","Gebäude","Misc II",4,"SCHLOSSEnter","S",1233
"314",2,154,"taube","Vögel","Tiere",4,"TAUBEEnter","T",1164
"315",2,155,"sessel","Sitzen","Möbel",4,"SBackspaceSELSSBackspaceBackspaceBackspaceSSELEnter","S",776
"316",2,156,"briefmarke","Filler","Filler",4,"BRIEFMARKEEnter","B",900
"317",2,157,"burg","Gebäude","Misc II",5,"BURGEnter","B",956
"318",2,158,"schwamm","Filler","Filler",5,"SABackspaceCHWAMMEnter","S",804
"319",2,159,"schwan","Vögel","Tiere",5,"SCHWANEnter","S",706
"320",2,160,"hocker","Sitzen","Möbel",5,"HOCKEREnter","H",1262
"321",4,1,"daunenweste","Jacken","Kleidung",1,"WESTEBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceDAUNENWESTE ","W",1327
"322",4,2,"schornstein","Filler","Filler",1,"SCHORNSTEIN ","S",1052
"323",4,3,"säge","Bauernhof","Werkzeug",1,"SÄGEEnter","S",939
"324",4,4,"sakko","Jacken","Kleidung",2,"SAKKO ","S",1360
"325",4,5,"kartoffel","Gemüse","Lebensmittel",1,"KARTOFFEL ","K",1329
"326",4,6,"sense","Bauernhof","Werkzeug",2,"SENSE ","S",942
"327",4,7,"ampel","Filler","Filler",2,"AMPEL ","A",811
"328",4,8,"parfum","Filler","Filler",3,"PARFUM ","P",923
"329",4,9,"schaufel","Bauernhof","Werkzeug",3,"SPATEN ","S",1512
